Temperature,Zoospores,Cite
19.5,0,"Kriger, K. M., & Hero, J.-M. (2007). Large-scale seasonal variation in the prevalence and severity of chytridiomycosis. Journal of Zoology (1987), 271(3), 352–359. https://doi.org/10.1111/j.1469-7998.2006.00220.x"
14.7,96,"Kriger, K. M., & Hero, J.-M. (2007). Large-scale seasonal variation in the prevalence and severity of chytridiomycosis. Journal of Zoology (1987), 271(3), 352–359. https://doi.org/10.1111/j.1469-7998.2006.00220.x"
19.2,74,"Kriger, K. M., & Hero, J.-M. (2007). Large-scale seasonal variation in the prevalence and severity of chytridiomycosis. Journal of Zoology (1987), 271(3), 352–359. https://doi.org/10.1111/j.1469-7998.2006.00220.x"
20.1,170,"Kriger, K. M., & Hero, J.-M. (2007). Large-scale seasonal variation in the prevalence and severity of chytridiomycosis. Journal of Zoology (1987), 271(3), 352–359. https://doi.org/10.1111/j.1469-7998.2006.00220.x"
22.2,100,"Kriger, K. M., & Hero, J.-M. (2007). Large-scale seasonal variation in the prevalence and severity of chytridiomycosis. Journal of Zoology (1987), 271(3), 352–359. https://doi.org/10.1111/j.1469-7998.2006.00220.x"
21,0,"Kriger, K. M., & Hero, J.-M. (2007). Large-scale seasonal variation in the prevalence and severity of chytridiomycosis. Journal of Zoology (1987), 271(3), 352–359. https://doi.org/10.1111/j.1469-7998.2006.00220.x"
18,794,"Kriger, K. M., & Hero, J.-M. (2007). Large-scale seasonal variation in the prevalence and severity of chytridiomycosis. Journal of Zoology (1987), 271(3), 352–359. https://doi.org/10.1111/j.1469-7998.2006.00220.x"
15.8,12462,"Kriger, K. M., & Hero, J.-M. (2007). Large-scale seasonal variation in the prevalence and severity of chytridiomycosis. Journal of Zoology (1987), 271(3), 352–359. https://doi.org/10.1111/j.1469-7998.2006.00220.x"
12.3,1995,"Kriger, K. M., & Hero, J.-M. (2007). Large-scale seasonal variation in the prevalence and severity of chytridiomycosis. Journal of Zoology (1987), 271(3), 352–359. https://doi.org/10.1111/j.1469-7998.2006.00220.x"
12.6,372,"Kriger, K. M., & Hero, J.-M. (2007). Large-scale seasonal variation in the prevalence and severity of chytridiomycosis. Journal of Zoology (1987), 271(3), 352–359. https://doi.org/10.1111/j.1469-7998.2006.00220.x"
