Season,Date,n,Prevalence (%),Zoospores,30-day air temperature (°C),Water temperature (°C),30-day rainfall (mm)
Autumn,13-Apr-04,11,0,0,19.5,19.1,67
Spring,24-Sep-04,30,46.7,96,14.7,17.5,37
Spring,03-Nov-04,30,46.7,74,19.2,22,126
Summer,22-Dec-04,30,13.3,170,20.1,22.3,185
Summer,10-Feb-05,27,3.7,100,22.2,23,108
Summer,12-Mar-05,21,0,0,21,21,23
Autumn,29-Apr-05,21,9.5,794,18,17.5,52
Autumn,20-May-05,1,100,12?462,15.8,14,50
Winter,04-Aug-05,2,50,1995,12.3,14.3,9
Winter,08-Sep-05,26,38.5,372,12.6,15.8,18
Spring,11-Oct-05,36,58.3,955,15.9,20,17
Spring,04-Dec-05,38,7.9,11,19.5,21.2,160
Summer,14-Jan-06,32,12.5,65,22.4,23.5,129
